"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"82","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","333","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"83","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","333","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"84","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","337","24","ExcessiveParameterList","Avoid long parameter lists.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"85","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","337","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"86","1","1","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","337","24","MethodNamingConventions","The static method name 'uploadSecrets_test' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"87","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","342","33","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"88","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","354","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"89","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","354","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"90","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","356","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"91","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","356","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"92","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","360","18","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"93","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","365","18","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"94","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","372","18","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"95","1","1","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","372","18","ClassNamingConventions","The class name 'cls_tree' doesn't match '[A-Z][a-zA-Z0-9_]*'","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#classnamingconventions","Code Style","pmd"
"96","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","381","18","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"97","1","1","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","383","23","VariableNamingConventions","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'key_id' is not final.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#variablenamingconventions","Code Style","pmd"
"98","1","1","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","383","23","FieldNamingConventions","The instance field name 'key_id' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
